analysis_variant	scope	cas	state	n_targetable	n_total	proportion	delta_vs_primary	n_changed_vs_primary
appris_principal_tss	therapeutic_panel	SpCas9_NGG	stroke_WT	44	55	0.8	0.036363636363636376	2
appris_principal_tss	therapeutic_panel	CjCas9_NNNVRYM	homeostatic	30	55	0.5454545454545454	0.0	2
appris_principal_tss	therapeutic_panel	CjCas9_NNNVRYM	PP_control	35	55	0.6363636363636364	0.0	2
appris_principal_tss	therapeutic_panel	CjCas9_NNNVRYM	PL_acute_LPS	40	55	0.7272727272727273	0.018181818181818188	3
appris_principal_tss	therapeutic_panel	CjCas9_NNNVRYM	LL_tolerized	38	55	0.6909090909090909	0.018181818181818188	3
appris_principal_tss	therapeutic_panel	CjCas9_NNNVRYM	sham_WT	39	55	0.7090909090909091	0.036363636363636376	2
appris_principal_tss	therapeutic_panel	CjCas9_NNNVRYM	stroke_WT	44	55	0.8	0.036363636363636376	2
appris_principal_tss	therapeutic_panel	Nme2Cas9_NNNNCC	homeostatic	30	55	0.5454545454545454	0.0	2
appris_principal_tss	therapeutic_panel	Nme2Cas9_NNNNCC	PP_control	35	55	0.6363636363636364	0.0	2
appris_principal_tss	therapeutic_panel	Nme2Cas9_NNNNCC	PL_acute_LPS	40	55	0.7272727272727273	0.018181818181818188	3
appris_principal_tss	therapeutic_panel	Nme2Cas9_NNNNCC	LL_tolerized	38	55	0.6909090909090909	0.018181818181818188	3
appris_principal_tss	therapeutic_panel	Nme2Cas9_NNNNCC	sham_WT	39	55	0.7090909090909091	0.036363636363636376	2
appris_principal_tss	therapeutic_panel	Nme2Cas9_NNNNCC	stroke_WT	44	55	0.8	0.036363636363636376	2
appris_principal_tss	genome_wide	Un1Cas12f1_TTTR	homeostatic	6314	21599	0.2923283485346544	0.0020834297884161357	389
appris_principal_tss	genome_wide	Un1Cas12f1_TTTR	PP_control	8151	21599	0.37737858234177507	0.003842770498634185	441
appris_principal_tss	genome_wide	Un1Cas12f1_TTTR	PL_acute_LPS	8570	21599	0.3967776285939164	0.0037038751794064573	454
appris_principal_tss	genome_wide	Un1Cas12f1_TTTR	LL_tolerized	8479	21599	0.39256447057734156	0.0038890689383768162	434
